,Unnamed: 0,Title,True Class,Model Class,Model Probability
2184,2184,inter_swap/yes/text2926443_13403_2021-05-26-yes.txt,2,1,0.8069595518625284
2232,2232,inter_swap/yes/text2747642_6399_2021-05-26-yes.txt,2,1,0.897823555496212
2291,2291,inter_swap/yes/text2423-yes.txt,2,1,0.8818087479140951
2343,2343,inter_swap/yes/text1659174_7349_2021-05-26-yes.txt,2,1,0.8044653350451378
2410,2410,inter_swap/yes/text (293)-yes.txt,2,1,0.8057900574022486
2614,2614,inter_swap/yes/text1099084_1227_2021-05-26-yes.txt,2,1,0.8688767163143583
2626,2626,inter_swap/yes/text2654226_5327_2021-05-26-yes.txt,2,1,0.8388405628840612
2692,2692,inter_swap/yes/text52183_4963_2021-05-26-yes.txt,2,1,0.8243650826089779
2755,2755,inter_swap/yes/text1254314_3_2021-05-26-yes.txt,2,1,0.8858797935364913
2773,2773,inter_swap/yes/text2615913_7623_2021-05-26-yes.txt,2,1,0.8486703982816285
3044,3044,inter_swap/yes/text777129_6345_2021-05-26-yes.txt,2,1,0.85194995694794
3160,3160,inter_swap/yes/text1157970_313_2021-05-26-yes.txt,2,1,0.8303759447211977
3261,3261,inter_swap/yes/text653252_18103_2021-05-26-yes.txt,2,1,0.8090241249840817
3313,3313,inter_swap/yes/text-656_12713_2021-05-26-yes.txt,2,1,0.8956658150120831
3434,3434,inter_swap/yes/text-69_12715_2021-05-26-yes.txt,2,1,0.8605956637883337
3581,3581,inter_swap/yes/text (1784)-yes.txt,2,1,0.867332786525723
3695,3695,inter_swap/yes/text (1267)-yes.txt,2,1,0.8161917799958421
3803,3803,inter_swap/yes/textYes759-yes.txt,2,1,0.8601388700468111
3814,3814,inter_swap/yes/text1008928_14898_2021-05-26-no.txt,2,1,0.8169775052328171
3919,3919,inter_swap/yes/text1040351_7665_2021-05-26-yes.txt,2,1,0.8734996875851491
3945,3945,inter_swap/yes/text (434)-yes.txt,2,1,0.811693076524471
4099,4099,inter_swap/yes/text2357852_3114_2021-05-26-yes.txt,2,1,0.8630585730164522
4208,4208,inter_swap/yes/text (503)-yes.txt,2,1,0.8937119834559735
4218,4218,inter_swap/yes/text1169026_6443_2021-05-26-no.txt,2,1,0.8907470990014945
4235,4235,inter_swap/yes/text (859)-yes.txt,2,1,0.8444981112027443
4266,4266,inter_swap/yes/text178005_16449_2021-05-26-no.txt,2,1,0.8347618516685245
4327,4327,inter_swap/yes/text (1392)-yes.txt,2,1,0.8914904858652926
4390,4390,inter_swap/yes/text (56)-yes.txt,2,1,0.8058540103022487
4431,4431,inter_swap/yes/text (39)-yes.txt,2,1,0.8032816422274247
4443,4443,inter_swap/yes/text (483)-yes.txt,2,1,0.8307369525564565
4574,4574,inter_swap/yes/text2894483(1)_9436_2021-05-26-yes.txt,2,1,0.850594500366676
4641,4641,inter_swap/yes/text2098639_13549_2021-05-26-yes.txt,2,1,0.876847494858736
4701,4701,inter_swap/yes/text2713333_6397_2021-05-26-yes.txt,2,1,0.8644891788755416
4735,4735,inter_swap/yes/text1323750_15598_2021-05-26-no.txt,2,1,0.8960337187899997
4783,4783,inter_swap/yes/text3099086_2025_2021-05-26-yes.txt,2,1,0.8057444963151849
5139,5139,inter_swap/yes/text2086365_5294_2021-05-26-yes.txt,2,1,0.8271853546073162
5188,5188,inter_swap/yes/text646274_5408_2021-05-26-yes.txt,2,1,0.8889330983089345
5266,5266,inter_swap/yes/text3199686_18039_2021-05-26-yes.txt,2,1,0.8967992766692997
5297,5297,inter_swap/yes/text (20)-yes.txt,2,1,0.8436278478796864
5322,5322,inter_swap/yes/text2991086_3123_2021-05-26-yes.txt,2,1,0.8729465010023674
5468,5468,inter_swap/yes/text2249295_322_2021-05-26-yes.txt,2,1,0.8240132387353982
5512,5512,inter_swap/yes/text-450_12690_2021-05-26-yes.txt,2,1,0.8878498784424296
5518,5518,inter_swap/yes/text442579_6110_2021-05-26-yes.txt,2,1,0.843127293554923
5544,5544,inter_swap/yes/text274777_15493_2021-05-26-yes.txt,2,1,0.8378180704906006
5760,5760,inter_swap/yes/text2864884_6401_2021-05-26-yes.txt,2,1,0.8247083611937527
5783,5783,inter_swap/yes/textYes306 (2)-yes.txt,2,1,0.8797123652161267
5809,5809,inter_swap/yes/text915250_11833_2021-05-26-yes.txt,2,1,0.8490524234166794
5860,5860,inter_swap/yes/text526297_2368_2021-05-26-no.txt,2,1,0.8705951355110123
5952,5952,inter_swap/yes/text2140770_11098_2021-05-26-yes.txt,2,1,0.8651656697824213
6078,6078,inter_swap/yes/text3266646_9462_2021-05-26-yes.txt,2,1,0.8278916027418952
6097,6097,inter_swap/yes/text-378_12681_2021-05-26-yes.txt,2,1,0.8181374197154964
6163,6163,inter_swap/yes/textNo596-yes.txt,2,1,0.8803211145514336
6186,6186,inter_swap/yes/text449274_4923_2021-05-26-yes.txt,2,1,0.8638083980204538
6223,6223,inter_swap/yes/textYes963-yes.txt,2,1,0.810989203932311
6276,6276,inter_swap/yes/text (494)-no.txt,2,1,0.8670456068482919
6333,6333,inter_swap/yes/text2023505_321_2021-05-26-yes.txt,2,1,0.8047138152217195
6348,6348,inter_swap/yes/text (1360)-no.txt,2,1,0.8987554703047026
6532,6532,inter_swap/yes/text2205060_15459_2021-05-26-yes.txt,2,1,0.8529285688767485
6613,6613,inter_swap/yes/textNo9 (2)-yes.txt,2,1,0.8296922221654681
6682,6682,inter_swap/yes/text2035980_3816_2021-05-26-yes.txt,2,1,0.888043567714519
6699,6699,inter_swap/yes/text1429609_7675_2021-05-26-yes.txt,2,1,0.882591225099913
6735,6735,inter_swap/yes/text79957_7001_2021-05-26-yes.txt,2,1,0.8642509302687313
6749,6749,inter_swap/yes/text1186170_14945_2021-05-26-no.txt,2,1,0.8059508692465722
6866,6866,inter_swap/yes/textYes1693-yes.txt,2,1,0.8886913128443831
6991,6991,inter_swap/yes/text1659473_8163_2021-05-26-yes.txt,2,1,0.8691047630272994
6994,6994,inter_swap/yes/text1183-yes.txt,2,1,0.8438732827596733
7175,7175,inter_swap/yes/text (2440)-yes.txt,2,1,0.8770095679511116
7210,7210,inter_swap/yes/text1959738_9363_2021-05-26-yes.txt,2,1,0.8681126525476585
7271,7271,inter_swap/yes/text3547300_3137_2021-05-26-yes.txt,2,1,0.882916581865238
7310,7310,inter_swap/yes/text2783676_5333_2021-05-26-yes.txt,2,1,0.826276603902612
7496,7496,inter_swap/yes/text3539056_7735_2021-05-26-yes.txt,2,1,0.8554537254849299
7603,7603,inter_swap/yes/text-486_12695_2021-05-26-yes.txt,2,1,0.8937781597663536
7791,7791,inter_swap/yes/text (1021)-yes.txt,2,1,0.8880572394642352
7889,7889,inter_swap/yes/text (1239)-yes.txt,2,1,0.8722505006135993
7990,7990,inter_swap/yes/text2808920_18074_2021-05-26-yes.txt,2,1,0.8414570666402803
8264,8264,inter_swap/yes/text (2136)-yes.txt,2,1,0.8417894372931654
8527,8527,inter_swap/yes/text547882_18100_2021-05-26-yes.txt,2,1,0.8146455446080363
8750,8750,inter_swap/yes/text-21_12661_2021-05-26-yes.txt,2,1,0.8936324095816129
8828,8828,inter_swap/yes/text (2399)-yes.txt,2,1,0.8822913363770862
8845,8845,inter_swap/yes/text1638794_3191_2021-05-26-yes.txt,2,1,0.8566066043787021
8926,8926,inter_swap/yes/text2765879_7721_2021-05-26-yes.txt,2,1,0.813764648287514
8974,8974,inter_swap/yes/text (126)-yes.txt,2,1,0.8066181663644497
9036,9036,inter_swap/yes/text2426017_9655_2021-05-26-yes.txt,2,1,0.8113968744610982
9123,9123,inter_swap/yes/text2358069_7709_2021-05-26-yes.txt,2,1,0.8145904986738031
9127,9127,inter_swap/yes/text3301774_3255_2021-05-26-yes.txt,2,1,0.82904180377433
9221,9221,inter_swap/yes/textYes1418-yes.txt,2,1,0.8349571738411566
9344,9344,inter_swap/yes/textYes675-yes.txt,2,1,0.8992926336154797
9350,9350,inter_swap/yes/text3476398_3858_2021-05-26-yes.txt,2,1,0.86693717143272
9440,9440,inter_swap/yes/text (396)-yes.txt,2,1,0.810053799747307
9448,9448,inter_swap/yes/text (2116)-no.txt,2,1,0.8936499250231179
543,543,inter_swap/yes/textNo634-yes.txt,2,1,0.8629345020106067
655,655,inter_swap/yes/text3224171_16764_2021-05-26-yes.txt,2,1,0.8887158421711184
664,664,inter_swap/yes/text3301199_16765_2021-05-26-yes.txt,2,1,0.8197223755981996
670,670,inter_swap/yes/text378892_3266_2021-05-26-yes.txt,2,1,0.8849935633767788
785,785,inter_swap/yes/text (441)-yes.txt,2,1,0.8811542634006566
835,835,inter_swap/yes/text3540192_6407_2021-05-26-yes.txt,2,1,0.8110238149928678
905,905,inter_swap/yes/text2644688_13402_2021-05-26-yes.txt,2,1,0.8669291368598144
965,965,inter_swap/yes/text b (89)-yes.txt,2,1,0.8128113735574981
1011,1011,inter_swap/yes/text (139)-yes.txt,2,1,0.8334282487376461
1240,1240,inter_swap/yes/text748170_2561_2021-05-26-yes.txt,2,1,0.8487364936683538
1375,1375,inter_swap/yes/text (166)-yes.txt,2,1,0.8033315612778188
1577,1577,inter_swap/yes/text2534779_11105_2021-05-26-yes.txt,2,1,0.8048698229906837
1612,1612,inter_swap/yes/text1855554_9811_2021-05-26-yes.txt,2,1,0.87951048461177
1613,1613,inter_swap/yes/text1693804_3198_2021-05-26-yes.txt,2,1,0.8453882546394886
1656,1656,inter_swap/yes/text1261634_14680_2021-05-26-yes.txt,2,1,0.8448297615141801
1721,1721,inter_swap/yes/text2732217_13840_2021-05-26-yes.txt,2,1,0.8418432490904573
1978,1978,inter_swap/yes/textYes1344-yes.txt,2,1,0.8368084904244617
2206,2206,inter_swap/yes/textNo645-yes.txt,2,1,0.851310841649912
2208,2208,inter_swap/yes/text (484)-yes.txt,2,1,0.8297854933296986
2244,2244,inter_swap/yes/text-30_12672_2021-05-26-yes.txt,2,1,0.8861994892959153
2333,2333,inter_swap/yes/text (339)-yes.txt,2,1,0.8884603971998775
2431,2431,inter_swap/yes/textNo59-yes.txt,2,1,0.8721160237174586
2467,2467,inter_swap/yes/text1943851_5567_2021-05-26-no.txt,2,1,0.8539296697417071
2488,2488,inter_swap/yes/text1218644_6842_2021-05-26-yes.txt,2,1,0.820263477454761
2489,2489,inter_swap/yes/text2023771_3215_2021-05-26-yes.txt,2,1,0.8452732805712748
2506,2506,inter_swap/yes/text184201_5273_2021-05-26-yes.txt,2,1,0.8126806758919732
2579,2579,inter_swap/yes/text1397993_5957_2021-05-26-yes.txt,2,1,0.8189368027491044
2695,2695,inter_swap/yes/textNo726-yes.txt,2,1,0.8273537263883413
2733,2733,inter_swap/yes/text1596867_15439_2021-05-26-yes.txt,2,1,0.8791479098393649
2776,2776,inter_swap/yes/text3421329_8650_2021-05-26-yes.txt,2,1,0.8061964329796698
2946,2946,inter_swap/yes/text2625823_1238_2021-05-26-yes.txt,2,1,0.8108961187054222
2966,2966,inter_swap/yes/text (1031)-no.txt,2,1,0.8928581010229102
3057,3057,inter_swap/yes/text (316)-yes.txt,2,1,0.826912936309539
3126,3126,inter_swap/yes/text2325331_3226_2021-05-26-yes.txt,2,1,0.8932536617767632
3205,3205,inter_swap/yes/textNo114 (2)-yes.txt,2,1,0.8651933142607573
3310,3310,inter_swap/yes/textNo913-yes.txt,2,1,0.8546285024180017
3526,3526,inter_swap/yes/text2832426_15500_2021-05-26-yes.txt,2,1,0.8879251957200666
3560,3560,inter_swap/yes/text1747713_5983_2021-05-26-yes.txt,2,1,0.8437173443967064
3588,3588,inter_swap/yes/text (523)-yes.txt,2,1,0.8436692089606886
3705,3705,inter_swap/yes/text1446804_16080_2021-05-26-yes.txt,2,1,0.8522247185138729
3720,3720,inter_swap/yes/text1114902_3084_2021-05-26-yes.txt,2,1,0.8442507820305389
3751,3751,inter_swap/yes/text (435)-yes.txt,2,1,0.8763160329696329
3756,3756,inter_swap/yes/text2978554_12025_2021-05-26-yes.txt,2,1,0.8397914305247134
3762,3762,inter_swap/yes/text (1420)-yes.txt,2,1,0.814556337624646
4010,4010,inter_swap/yes/text (175)-yes.txt,2,1,0.8558292656640418
4213,4213,inter_swap/yes/textYes1269-yes.txt,2,1,0.8911628301851062
4302,4302,inter_swap/yes/textYes1350-yes.txt,2,1,0.8133114780266735
4383,4383,inter_swap/yes/text898638_9510_2021-05-26-yes.txt,2,1,0.8517384767377767
4404,4404,inter_swap/yes/text b (31)-yes.txt,2,1,0.8847091566066142
4419,4419,inter_swap/yes/text1481852_13400_2021-05-26-yes.txt,2,1,0.8539169595556569
4458,4458,inter_swap/yes/text1156-yes.txt,2,1,0.8702949027949822
4461,4461,inter_swap/yes/textYes1365-yes.txt,2,1,0.8820101127685093
4512,4512,inter_swap/yes/text (1631)-yes.txt,2,1,0.860410594603257
4612,4612,inter_swap/yes/text243038_1236_2021-05-26-yes.txt,2,1,0.8377005982931047
4633,4633,inter_swap/yes/text3507-yes.txt,2,1,0.8379003323142034
4745,4745,inter_swap/yes/text (2231)-yes.txt,2,1,0.8561204271157974
4756,4756,inter_swap/yes/text3415726_16123_2021-05-26-yes.txt,2,1,0.8082442526340599
4759,4759,inter_swap/yes/text (1092)-no.txt,2,1,0.8342977775987652
4846,4846,inter_swap/yes/text2712669_16302_2021-05-26-yes.txt,2,1,0.895685346903481
4888,4888,inter_swap/yes/text (278)-yes.txt,2,1,0.8322508579678524
4930,4930,inter_swap/yes/text (163)-yes.txt,2,1,0.841312883436863
5054,5054,inter_swap/yes/text1779875_6390_2021-05-26-yes.txt,2,1,0.8095432062872243
5117,5117,inter_swap/yes/text46295_5387_2021-05-26-yes.txt,2,1,0.8537996926372102
5229,5229,inter_swap/yes/text56266_4972_2021-05-26-yes.txt,2,1,0.8215112981745185
5250,5250,inter_swap/yes/textUzbekJan (6)-yes.txt,2,1,0.8254715176256198
5325,5325,inter_swap/yes/text (308)-yes.txt,2,1,0.8793228046950564
5568,5568,inter_swap/yes/textYes1685-yes.txt,2,1,0.8486178544420951
5581,5581,inter_swap/yes/text2679726_11109_2021-05-26-yes.txt,2,1,0.8334565658472274
5632,5632,inter_swap/yes/text16886-yes.txt,2,1,0.8432108122053463
5753,5753,inter_swap/yes/text (2461)-yes.txt,2,1,0.814315465107301
5779,5779,inter_swap/yes/text1481521_3933_2021-05-26-yes.txt,2,1,0.8893210378882466
6139,6139,inter_swap/yes/text1526367_3938_2021-05-26-yes.txt,2,1,0.8708279194948055
6192,6192,inter_swap/yes/text1331831_8566_2021-05-26-yes.txt,2,1,0.8098941728790092
6275,6275,inter_swap/yes/text888362_15331_2021-05-26-yes.txt,2,1,0.8354131594511588
6319,6319,inter_swap/yes/text (414)-yes.txt,2,1,0.8128964720735556
6420,6420,inter_swap/yes/text (1968)-yes.txt,2,1,0.8255932145491207
6432,6432,inter_swap/yes/text398311_9860_2021-05-26-yes.txt,2,1,0.8902531417071187
6557,6557,inter_swap/yes/text2066503_6006_2021-05-26-yes.txt,2,1,0.8082955496808251
6731,6731,inter_swap/yes/text2598118_18070_2021-05-26-yes.txt,2,1,0.8303809131093084
6827,6827,inter_swap/yes/text396685_8189_2021-05-26-yes.txt,2,1,0.8724153528356301
6930,6930,inter_swap/yes/text47141_7220_2021-05-26-yes.txt,2,1,0.8401981365028381
6949,6949,inter_swap/yes/text2165892_12573_2021-05-26-yes.txt,2,1,0.8345956839899715
6980,6980,inter_swap/yes/text-510_12699_2021-05-26-yes.txt,2,1,0.8493970591584968
7433,7433,inter_swap/yes/text1623454_235_2021-05-26-yes.txt,2,1,0.8429772453965956
7555,7555,inter_swap/yes/text2727253_1080_2021-05-26-yes.txt,2,1,0.8309832318038349
7571,7571,inter_swap/yes/text (2199)-yes.txt,2,1,0.8588138672006063
7695,7695,inter_swap/yes/text (341)-yes.txt,2,1,0.8839506090662778
7727,7727,inter_swap/yes/text (2045)-yes.txt,2,1,0.8707870300941192
7784,7784,inter_swap/yes/text843196_16772_2021-05-26-yes.txt,2,1,0.8781905555303005
7870,7870,inter_swap/yes/text (301)-yes.txt,2,1,0.8363344531255824
7881,7881,inter_swap/yes/text2296138_6393_2021-05-26-yes.txt,2,1,0.8246942229857741
7905,7905,inter_swap/yes/text854496_5430_2021-05-26-yes.txt,2,1,0.897058338257397
7935,7935,inter_swap/yes/textYes1039-yes.txt,2,1,0.88490266034706
7944,7944,inter_swap/yes/text17445_3201_2021-05-26-no.txt,2,1,0.8810530637438418
7985,7985,inter_swap/yes/textNo769-yes.txt,2,1,0.8941591319121767
8045,8045,inter_swap/yes/text (2193)-no.txt,2,1,0.8233795238194221
8092,8092,inter_swap/yes/text3214135_9846_2021-05-26-yes.txt,2,1,0.8455015018930373
8115,8115,inter_swap/yes/text2323059_6854_2021-05-26-yes.txt,2,1,0.8004141694494097
8419,8419,inter_swap/yes/text943579_11552_2021-05-26-yes.txt,2,1,0.8721675309290338
8424,8424,inter_swap/yes/text (277)-yes.txt,2,1,0.8661739189343906
8439,8439,inter_swap/yes/text (132)-yes.txt,2,1,0.8780771284591297
8520,8520,inter_swap/yes/text (295)-yes.txt,2,1,0.8730238413767849
8528,8528,inter_swap/yes/text2071392_5292_2021-05-26-yes.txt,2,1,0.8652998494822315
8564,8564,inter_swap/yes/text1061496_11961_2021-05-26-yes.txt,2,1,0.8165106679130512
8662,8662,inter_swap/yes/textYes1284-yes.txt,2,1,0.8137831469071528
8841,8841,inter_swap/yes/text (2404)-yes.txt,2,1,0.8027668987919286
8851,8851,inter_swap/yes/text (386)-yes.txt,2,1,0.8521367236394489
8934,8934,inter_swap/yes/text (398)-yes.txt,2,1,0.8402145170125845
9225,9225,inter_swap/yes/textYes227 (2)-yes.txt,2,1,0.8865712191372677
9399,9399,inter_swap/yes/text940191_775_2021-05-26-yes.txt,2,1,0.8432244485080536
